epoch,accuracy,loss,val_accuracy,val_loss
0,0.012283333577215672,0.2136412411928177,NA,NA
1,0.013366666622459888,0.11714191734790802,NA,NA
2,0.01366666704416275,0.0958985909819603,NA,NA
3,0.013866666704416275,0.08558471500873566,NA,NA
4,0.013816666789352894,0.07961428910493851,NA,NA
5,0.013383333571255207,0.07601221650838852,NA,NA
6,0.013833333738148212,0.07370857894420624,NA,NA
7,0.013616667129099369,0.0721336081624031,NA,NA
8,0.013866666704416275,0.07100164890289307,NA,NA
9,0.013883333653211594,0.07013259083032608,NA,NA
10,0.01360000018030405,0.06947822123765945,NA,NA
11,0.01334999967366457,0.0689472109079361,NA,NA
12,0.01360000018030405,0.06851067394018173,NA,NA
13,0.01418333314359188,0.06813710182905197,NA,NA
14,0.013633333146572113,0.06784094870090485,NA,NA
15,0.013650000095367432,0.06758149713277817,NA,NA
16,0.014083333313465118,0.06736437976360321,NA,NA
17,0.014283332973718643,0.06717594712972641,NA,NA
18,0.014033333398401737,0.06701057404279709,NA,NA
19,0.0142666669562459,0.06685858219861984,NA,NA
20,0.014216667041182518,0.0667409673333168,NA,NA
21,0.014700000174343586,0.06662172824144363,NA,NA
22,0.0140666663646698,0.06652538478374481,NA,NA
23,0.014433333650231361,0.06643462926149368,NA,NA
24,0.014683333225548267,0.06635233759880066,NA,NA
25,0.014349999837577343,0.06628139317035675,NA,NA
26,0.014716667123138905,0.06622271984815598,NA,NA
27,0.014299999922513962,0.06616326421499252,NA,NA
28,0.0142000000923872,0.06611200422048569,NA,NA
29,0.015049999579787254,0.0660640075802803,NA,NA
30,0.014766667038202286,0.06602722406387329,NA,NA
31,0.014733333140611649,0.06598788499832153,NA,NA
32,0.014866666868329048,0.06594491750001907,NA,NA
33,0.01489999983459711,0.06591687351465225,NA,NA
34,0.014949999749660492,0.06588304787874222,NA,NA
35,0.01489999983459711,0.0658554956316948,NA,NA
36,0.01489999983459711,0.06583202630281448,NA,NA
37,0.014766667038202286,0.06579883396625519,NA,NA
38,0.01543333288282156,0.0657786875963211,NA,NA
39,0.014683333225548267,0.06576275080442429,NA,NA
40,0.01484999991953373,0.06573866307735443,NA,NA
41,0.014816666953265667,0.06572279334068298,NA,NA
42,0.014750000089406967,0.06571149826049805,NA,NA
43,0.014750000089406967,0.06568307429552078,NA,NA
44,0.014700000174343586,0.06567538529634476,NA,NA
45,0.01491666678339243,0.06565666943788528,NA,NA
46,0.014833332970738411,0.06564541161060333,NA,NA
47,0.015416666865348816,0.06563368439674377,NA,NA
48,0.015350000001490116,0.0656198188662529,NA,NA
49,0.01489999983459711,0.06560689955949783,NA,NA
