epoch,accuracy,loss,val_accuracy,val_loss
0,0.012683332897722721,0.2788778841495514,NA,NA
1,0.013033333234488964,0.1692638248205185,NA,NA
2,0.00996666681021452,0.145268514752388,NA,NA
3,0.00943333376199007,0.1298660784959793,NA,NA
4,0.010566666722297668,0.11916014552116394,NA,NA
5,0.010900000110268593,0.1115836352109909,NA,NA
6,0.010566666722297668,0.10614451766014099,NA,NA
7,0.010900000110268593,0.10218512266874313,NA,NA
8,0.009916666895151138,0.09936562180519104,NA,NA
9,0.010200000368058681,0.09740111231803894,NA,NA
10,0.010833333246409893,0.0961429700255394,NA,NA
11,0.01119999960064888,0.09532403945922852,NA,NA
12,0.010916667059063911,0.09477335959672928,NA,NA
13,0.011033332906663418,0.09440894424915314,NA,NA
14,0.011166666634380817,0.09412819892168045,NA,NA
15,0.011049999855458736,0.0939301997423172,NA,NA
16,0.011500000022351742,0.09375482052564621,NA,NA
17,0.011216666549444199,0.09360507875680923,NA,NA
18,0.01126666646450758,0.09351206570863724,NA,NA
19,0.01133333332836628,0.09343624860048294,NA,NA
20,0.011583332903683186,0.0933622345328331,NA,NA
21,0.011566666886210442,0.09329444915056229,NA,NA
22,0.011483333073556423,0.09322623908519745,NA,NA
23,0.011716666631400585,0.09317468106746674,NA,NA
24,0.01151666697114706,0.09312201291322708,NA,NA
25,0.011099999770522118,0.09308663010597229,NA,NA
26,0.01146666705608368,0.09304671734571457,NA,NA
27,0.011149999685585499,0.09301774948835373,NA,NA
28,0.011416666209697723,0.09299714863300323,NA,NA
29,0.011599999852478504,0.0929599180817604,NA,NA
30,0.011166666634380817,0.09294675290584564,NA,NA
31,0.01133333332836628,0.09292323142290115,NA,NA
32,0.01146666705608368,0.09289468824863434,NA,NA
33,0.011599999852478504,0.09287054091691971,NA,NA
34,0.011416666209697723,0.09285672754049301,NA,NA
35,0.011166666634380817,0.09283556789159775,NA,NA
36,0.011583332903683186,0.09281424432992935,NA,NA
37,0.01151666697114706,0.09279852360486984,NA,NA
38,0.01140000019222498,0.09279291331768036,NA,NA
39,0.011566666886210442,0.09278621524572372,NA,NA
40,0.011350000277161598,0.09278078377246857,NA,NA
41,0.01140000019222498,0.09275241941213608,NA,NA
42,0.011416666209697723,0.09273872524499893,NA,NA
43,0.011233333498239517,0.09272560477256775,NA,NA
44,0.011500000022351742,0.09271536767482758,NA,NA
45,0.01138333324342966,0.09269389510154724,NA,NA
46,0.011483333073556423,0.09269111603498459,NA,NA
47,0.01126666646450758,0.09268462657928467,NA,NA
48,0.01126666646450758,0.09268169105052948,NA,NA
49,0.01138333324342966,0.09267334640026093,NA,NA
