epoch,accuracy,loss,val_accuracy,val_loss
0,0.9204833507537842,0.27452147006988525,0.9638000130653381,0.1250111311674118
1,0.970550000667572,0.0980125293135643,0.9739999771118164,0.08214584738016129
2,0.9815333485603333,0.060922328382730484,0.9779999852180481,0.07161500304937363
3,0.9872499704360962,0.04100579023361206,0.9776999950408936,0.06995035707950592
4,0.9908333420753479,0.029533760622143745,0.9782999753952026,0.06841469556093216
5,0.993233323097229,0.02211895026266575,0.9797999858856201,0.0710844099521637
6,0.994783341884613,0.016737015917897224,0.9767000079154968,0.07928472012281418
7,0.995983362197876,0.01306125707924366,0.9807999730110168,0.07544057816267014
8,0.9962166547775269,0.012042186222970486,0.9786999821662903,0.07704304903745651
9,0.9970499873161316,0.008946945890784264,0.9797000288963318,0.07926827669143677
10,0.9959999918937683,0.01201128214597702,0.9800000190734863,0.07866538316011429
11,0.996666669845581,0.01039267797023058,0.9807000160217285,0.07419365644454956
12,0.9986000061035156,0.004889850039035082,0.9778000116348267,0.09740953892469406
13,0.996483325958252,0.01003782358020544,0.9800000190734863,0.09449248760938644
14,0.9978333115577698,0.006933905649930239,0.9817000031471252,0.08386137336492538
15,0.9964166879653931,0.01126924343407154,0.9796000123023987,0.09588641673326492
16,0.9976666569709778,0.006581536028534174,0.9800999760627747,0.08898144960403442
17,0.9965999722480774,0.009962879121303558,0.9833999872207642,0.08467035740613937
18,0.9981499910354614,0.005932316184043884,0.9814000129699707,0.0867714211344719
19,0.9993000030517578,0.0022720443084836006,0.9830999970436096,0.09263872355222702
20,0.9993333220481873,0.0022654784843325615,0.978600025177002,0.1137629896402359
21,0.9969333410263062,0.008745423518121243,0.9825999736785889,0.08617565035820007
22,0.9977499842643738,0.006488753482699394,0.9835000038146973,0.08324236422777176
23,0.9991833567619324,0.002262100810185075,0.9814000129699707,0.09793723374605179
24,0.9975000023841858,0.007169343531131744,0.9800999760627747,0.1125808134675026
25,0.9975333213806152,0.008002680726349354,0.9801999926567078,0.10104044526815414
26,0.9987999796867371,0.004323779605329037,0.9822999835014343,0.10126388818025589
27,0.9987333416938782,0.004184807650744915,0.9828000068664551,0.09534938633441925
28,0.9986500144004822,0.004517292603850365,0.982200026512146,0.1105743795633316
29,0.9986666440963745,0.003907962702214718,0.9829000234603882,0.10207314789295197
30,0.9986166954040527,0.0040288749150931835,0.9837999939918518,0.10069911926984787
31,0.9985499978065491,0.0048575494438409805,0.9799000024795532,0.11100628972053528
32,0.9986333250999451,0.003825153922662139,0.9815000295639038,0.10923849046230316
33,0.9975000023841858,0.008281434886157513,0.9793000221252441,0.12133646011352539
34,0.9982500076293945,0.004885481204837561,0.9814000129699707,0.1088225468993187
35,0.9987833499908447,0.003479406703263521,0.9819999933242798,0.11424975842237473
36,0.9992666840553284,0.002669138368219137,0.9829000234603882,0.09992554038763046
37,0.9990333318710327,0.002804053481668234,0.9812999963760376,0.11267872154712677
38,0.9984999895095825,0.0046269455924630165,0.9787999987602234,0.1294526308774948
39,0.9984833598136902,0.005170653574168682,0.9814000129699707,0.11327914893627167
40,0.9987666606903076,0.004323368892073631,0.9832000136375427,0.10588804632425308
41,0.9984833598136902,0.005350830033421516,0.9819999933242798,0.10470724105834961
42,0.9989500045776367,0.0029396521858870983,0.982699990272522,0.10551866143941879
43,0.9995499849319458,0.001325853867456317,0.982699990272522,0.10162264108657837
44,0.9993666410446167,0.0017695147544145584,0.982699990272522,0.11185112595558167
45,0.9994833469390869,0.0015559570165351033,0.9835000038146973,0.10932712256908417
46,0.9988999962806702,0.003768947906792164,0.98089998960495,0.11034730076789856
47,0.9988999962806702,0.003590739332139492,0.9837999939918518,0.10534554719924927
48,0.9998166561126709,0.0007595545030198991,0.9846000075340271,0.09689229726791382
49,0.9998499751091003,0.0005212893011048436,0.9847000241279602,0.09619548916816711
